Artículo;Artículo descripción;Color;Color descripción;Talle;Nombre;Cantidad
I102;BOMBACHA LISA HOMBRE PAMPERO (38-54);C4;AZUL MARINO;44;MACATA SA;-1,00
I102;BOMBACHA LISA HOMBRE PAMPERO (38-54);E1;VERDE;50;MACATA SA;-1,00
I115;PANTALON CAZADOR CARGO II H. PAMPERO GRANDE (56-70);C4;AZUL MARINO;58;MACATA SA;-1,00
I116;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);C4;AZUL MARINO;46;MACATA SA;-1,00
I116;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);H5;GRIS OSCURO;52;MACATA SA;-1,00
I218;PANTALON CARGO DAMA PAMPERO;G1;BEIGE;38;MACATA SA;-1,00
I322;BOTIN ALENKE (2799) PAMPERO C/P;G3;MARRON;43;DENEB SA;-1,00
I322;BOTIN ALENKE (2799) PAMPERO C/P;G3;MARRON;39;DENEB SA;-1,00
I591;PANT. PAMPERO INDUS. H. JEAN (52-60);C6;AZUL JEAN;58;MACATA SA;-1,00
N019;BOMBACHA LISA NIÑO PAMPERO;G1;BEIGE;2;MACATA SA;-1,00
PA3010;ZAPATILLA 3010 PAMPERO TREKKING;G1;BEIGE;43;DENEB SA;-1,00
U013;ALPARGATA INYECTADA SIMIL YUTE PAMPERO;G2;CEMENTO;41;MP NEGOCIOS ARGENTINA SA;-1,00
U029;PANTALON CARGO BAGUALES PAMPERO;C4;AZUL MARINO;48;CITEX SRL;-1,00
U034;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;H2;NEGRO;48;MACATA SA;-1,00
U056;PANT. PAMPERO INDUS. H. JEAN (38-50);C6;AZUL JEAN;42;MACATA SA;-1,00
U070;CHALECO TRELEW H. MATELASEE PAMPERO;C4;AZUL MARINO;XXL;FOOTWEAR S.R.L;-1,00
U070;CHALECO TRELEW H. MATELASEE PAMPERO;C4;AZUL MARINO;L;FOOTWEAR S.R.L;-1,00
U070;CHALECO TRELEW H. MATELASEE PAMPERO;H2;NEGRO;XL;FOOTWEAR S.R.L;-1,00
U082;CINTO SAUCE COMB. 40 SOGA PAMPERO;C4;AZUL MARINO;100;Pionera S.A.;-1,00
U082;CINTO SAUCE COMB. 40 SOGA PAMPERO;C6;AZUL JEAN;115;Pionera S.A.;-1,00
U082;CINTO SAUCE COMB. 40 SOGA PAMPERO;G1;BEIGE;95;Pionera S.A.;-1,00
