Artículo;Artículo descripción;Color;Color descripción;Talle;Nombre;Cantidad
412101002;PANTALON CARGO DEL NORTE HOMBRE;G0;HABANO;54;CITEX SRL;1,00
412101002;PANTALON CARGO DEL NORTE HOMBRE;G0;HABANO;50;CITEX SRL;1,00
412101002;PANTALON CARGO DEL NORTE HOMBRE;G0;HABANO;46;CITEX SRL;1,00
412101002;PANTALON CARGO DEL NORTE HOMBRE;H2;NEGRO;54;CITEX SRL;1,00
412101002;PANTALON CARGO DEL NORTE HOMBRE;H2;NEGRO;44;CITEX SRL;1,00
412101002;PANTALON CARGO DEL NORTE HOMBRE;H2;NEGRO;40;CITEX SRL;1,00
412106029;PANTALON VIAJERO SECADO RAPIDO;H3;GRIS;M;BREA MARIA PAULA;1,00
412106032;PANTALON DESMONTABLE;G4;KAKI;G;BREA MARIA PAULA;1,00
412124001;BERMUDA ROMERILLO PINZADA POPLIN;C4;AZUL MARINO;46;RIEMERSO SA;1,00
412124001;BERMUDA ROMERILLO PINZADA POPLIN;C4;AZUL MARINO;44;RIEMERSO SA;1,00
412124001;BERMUDA ROMERILLO PINZADA POPLIN;C4;AZUL MARINO;40;RIEMERSO SA;1,00
412124001;BERMUDA ROMERILLO PINZADA POPLIN;H8;CRUDO;48;RIEMERSO SA;1,00
412124001;BERMUDA ROMERILLO PINZADA POPLIN;H8;CRUDO;46;RIEMERSO SA;1,00
412124001;BERMUDA ROMERILLO PINZADA POPLIN;H8;CRUDO;44;RIEMERSO SA;1,00
412124001;BERMUDA ROMERILLO PINZADA POPLIN;H8;CRUDO;40;RIEMERSO SA;1,00
412500053;PANTALON QUEBRACHO RECTO DENIM;C4;AZUL MARINO;46;RIEMERSO SA;1,00
412500053;PANTALON QUEBRACHO RECTO DENIM;C4;AZUL MARINO;44;RIEMERSO SA;1,00
412500058;PANTALON ORIGEN DENIM;L1;LAVADO LOCAL;48;RIEMERSO SA;1,00
412545002;PANTALON FELIPE DENIM;C4;AZUL MARINO;50;RIEMERSO SA;1,00
412545002;PANTALON FELIPE DENIM;C4;AZUL MARINO;38;RIEMERSO SA;1,00
413101031;CAMPERA RUSTICA;C4;AZUL MARINO;MG;Lopez Omar Alexis;1,00
413101031;CAMPERA RUSTICA;C4;AZUL MARINO;CH;Lopez Omar Alexis;1,00
413101031;CAMPERA RUSTICA;G1;BEIGE;MMG;Lopez Omar Alexis;1,00
413101031;CAMPERA RUSTICA;G1;BEIGE;CH;Lopez Omar Alexis;1,00
441173006;GORRA CHAPLIN;H9;CAMEL;U;J.S. Purpura S.R.L.;1,00
444134005;CINTO HEBILLA FORRADA 35MM;G7;SUELA;120;Pionera S.A.;1,00
444134005;CINTO HEBILLA FORRADA 35MM;H2;NEGRO;120;Pionera S.A.;1,00
444134005;CINTO HEBILLA FORRADA 35MM;H2;NEGRO;110;Pionera S.A.;1,00
444134011;CINTO ALAMO 40MM;H2;NEGRO;90;Pionera S.A.;1,00
444134011;CINTO ALAMO 40MM;H2;NEGRO;120;Pionera S.A.;1,00
444134011;CINTO ALAMO 40MM;H2;NEGRO;115;Pionera S.A.;1,00
511138100;CHOMBA DAMA BASICA PIQUE PAMPERO;C4;AZUL MARINO;M;Pampenorte S.R.L.;1,00
511138100;CHOMBA DAMA BASICA PIQUE PAMPERO;E1;VERDE;G;Pampenorte S.R.L.;1,00
511138100;CHOMBA DAMA BASICA PIQUE PAMPERO;H1;BLANCO;MG;Pampenorte S.R.L.;1,00
511138100;CHOMBA DAMA BASICA PIQUE PAMPERO;H2;NEGRO;MMG;Pampenorte S.R.L.;1,00
511138100;CHOMBA DAMA BASICA PIQUE PAMPERO;H2;NEGRO;G;Pampenorte S.R.L.;1,00
511138100;CHOMBA DAMA BASICA PIQUE PAMPERO;H2;NEGRO;CH;Pampenorte S.R.L.;1,00
511138100;CHOMBA DAMA BASICA PIQUE PAMPERO;P4;GRIS MELANGE;MG;Pampenorte S.R.L.;1,00
711106020;CAMISA MUJER MILA TECNICA;H7;NATURAL;G;Armesto Maria Eugenia;1,00
712106008;BABUCHA ROSAS SOFT SHELL DAMA;E2;VERDE SECO;MMG;Armesto Maria Eugenia;1,00
712106008;BABUCHA ROSAS SOFT SHELL DAMA;E2;VERDE SECO;MG;Armesto Maria Eugenia;1,00
712106008;BABUCHA ROSAS SOFT SHELL DAMA;E2;VERDE SECO;CH;Armesto Maria Eugenia;1,00
712106008;BABUCHA ROSAS SOFT SHELL DAMA;G6;VISON;MMG;Armesto Maria Eugenia;1,00
712106008;BABUCHA ROSAS SOFT SHELL DAMA;G6;VISON;MG;Armesto Maria Eugenia;1,00
712106008;BABUCHA ROSAS SOFT SHELL DAMA;G6;VISON;CH;Armesto Maria Eugenia;1,00
712106008;BABUCHA ROSAS SOFT SHELL DAMA;H2;NEGRO;MMG;Armesto Maria Eugenia;1,00
712106008;BABUCHA ROSAS SOFT SHELL DAMA;H2;NEGRO;MG;Armesto Maria Eugenia;1,00
712106008;BABUCHA ROSAS SOFT SHELL DAMA;H3;GRIS;MMG;Armesto Maria Eugenia;1,00
712106008;BABUCHA ROSAS SOFT SHELL DAMA;H3;GRIS;MG;Armesto Maria Eugenia;1,00
712106008;BABUCHA ROSAS SOFT SHELL DAMA;H3;GRIS;CH;Armesto Maria Eugenia;1,00
7798127209316;MATERA ARCE;V1;VARIOS;U;ARTICULOS PROMOCIONALES SA;1,00
7798331470540;BOLSO DUOMO BAG 19 LTS GR;V1;VARIOS;U;ARTICULOS PROMOCIONALES SA;1,00
7798385662892;MOCHILA TRAFUL;V1;VARIOS;U;ARTICULOS PROMOCIONALES SA;1,00
7798385666784;BOTELLA HYDRA GO 750ML;H8;CRUDO;U;ARTICULOS PROMOCIONALES SA;1,00
7799176003306;BOLSO REMANSO;E1;VERDE;U;ARTICULOS PROMOCIONALES SA;1,00
7799176003306;BOLSO REMANSO;V1;VARIOS;U;ARTICULOS PROMOCIONALES SA;1,00
811122047;REMERA BASICA M/C ESC RED.;H2;NEGRO;XXL;C D Way S.A.;1,00
811122047;REMERA BASICA M/C ESC RED.;H2;NEGRO;XL;C D Way S.A.;1,00
811122047;REMERA BASICA M/C ESC RED.;H2;NEGRO;CH;C D Way S.A.;1,00
811122092;REMERA PETUNIA;I1;CELESTE;MG;C D Way S.A.;1,00
811122092;REMERA PETUNIA;I1;CELESTE;M;C D Way S.A.;1,00
811122092;REMERA PETUNIA;I1;CELESTE;G;C D Way S.A.;1,00
811122112;CAMISA JAUREGUI POPLIN;H1;BLANCO;MMG;TORRES RODRIGO SEBASTIAN;1,00
811122112;CAMISA JAUREGUI POPLIN;H1;BLANCO;MG;TORRES RODRIGO SEBASTIAN;1,00
811122263;CAMISA RAUCH BRODERY;H1;BLANCO;MMG;AZUL PATAGONIA;1,00
811122263;CAMISA RAUCH BRODERY;H1;BLANCO;MCH;AZUL PATAGONIA;1,00
811122263;CAMISA RAUCH BRODERY;H1;BLANCO;CH;AZUL PATAGONIA;1,00
811122315;CAMISA LUZ;C6;AZUL JEAN;MMG;AZUL PATAGONIA;1,00
811124004;CAMISA MAIZANI M/L POPLIN Y FIBRANA;B1;ROJO;XXL;AZUL PATAGONIA;1,00
811124004;CAMISA MAIZANI M/L POPLIN Y FIBRANA;B1;ROJO;XL;AZUL PATAGONIA;1,00
811124033;CAMISA CLARA POPLIN RAYAS;V1;VARIOS;MG;TORRES RODRIGO SEBASTIAN;1,00
811124033;CAMISA CLARA POPLIN RAYAS;V1;VARIOS;MCH;TORRES RODRIGO SEBASTIAN;1,00
811124033;CAMISA CLARA POPLIN RAYAS;V1;VARIOS;M;TORRES RODRIGO SEBASTIAN;1,00
811124033;CAMISA CLARA POPLIN RAYAS;V1;VARIOS;CH;TORRES RODRIGO SEBASTIAN;1,00
811138001;POLO TREBOL BLANCO;H1;BLANCO;MG;C D Way S.A.;1,00
811140064;REMERA ALGODONILLO;H2;NEGRO;MG;C D Way S.A.;1,00
811140065;REMERA PUERTO PIRAMIDES;C6;AZUL JEAN;MMG;C D Way S.A.;1,00
811140065;REMERA PUERTO PIRAMIDES;C6;AZUL JEAN;MG;C D Way S.A.;1,00
811140065;REMERA PUERTO PIRAMIDES;C6;AZUL JEAN;MCH;C D Way S.A.;1,00
811140065;REMERA PUERTO PIRAMIDES;C6;AZUL JEAN;G;C D Way S.A.;1,00
811140065;REMERA PUERTO PIRAMIDES;E1;VERDE;MMG;C D Way S.A.;1,00
811140065;REMERA PUERTO PIRAMIDES;E1;VERDE;MG;C D Way S.A.;1,00
811140065;REMERA PUERTO PIRAMIDES;E1;VERDE;MCH;C D Way S.A.;1,00
811140065;REMERA PUERTO PIRAMIDES;E1;VERDE;M;C D Way S.A.;1,00
811140065;REMERA PUERTO PIRAMIDES;E1;VERDE;CH;C D Way S.A.;1,00
811140065;REMERA PUERTO PIRAMIDES;G1;BEIGE;MMG;C D Way S.A.;1,00
811140065;REMERA PUERTO PIRAMIDES;G1;BEIGE;MG;C D Way S.A.;1,00
811140065;REMERA PUERTO PIRAMIDES;H3;GRIS;MMG;C D Way S.A.;1,00
811140065;REMERA PUERTO PIRAMIDES;H3;GRIS;MG;C D Way S.A.;1,00
811140065;REMERA PUERTO PIRAMIDES;H3;GRIS;MCH;C D Way S.A.;1,00
811140065;REMERA PUERTO PIRAMIDES;H3;GRIS;CH;C D Way S.A.;1,00
811140065;REMERA PUERTO PIRAMIDES;J1;ROSA;MMG;C D Way S.A.;1,00
811140065;REMERA PUERTO PIRAMIDES;J1;ROSA;MG;C D Way S.A.;1,00
811140065;REMERA PUERTO PIRAMIDES;J1;ROSA;M;C D Way S.A.;1,00
811168026;REMERA CATEDRAL;H0;ARENA;MG;C D Way S.A.;1,00
811168026;REMERA CATEDRAL;H0;ARENA;CH;C D Way S.A.;1,00
811500000;CAMISA MAIZANI DENIM M/L;C6;AZUL JEAN;MCH;TORRES RODRIGO SEBASTIAN;1,00
811500000;CAMISA MAIZANI DENIM M/L;C6;AZUL JEAN;G;TORRES RODRIGO SEBASTIAN;1,00
811505001;CAMISA BASICA MAIZANI POPLIN LISO;H1;BLANCO;MG;AZUL PATAGONIA;1,00
811505001;CAMISA BASICA MAIZANI POPLIN LISO;H1;BLANCO;2MG;AZUL PATAGONIA;1,00
811508009;POLO TREBOL ROJO;G1;BEIGE;MG;C D Way S.A.;1,00
811508009;POLO TREBOL ROJO;G1;BEIGE;M;C D Way S.A.;1,00
811527004;CAMISA BASICA 70/30 MAIZANI OXFORD RAYADO;C4;AZUL MARINO;MMG;AZUL PATAGONIA;1,00
811527004;CAMISA BASICA 70/30 MAIZANI OXFORD RAYADO;C4;AZUL MARINO;MCH;AZUL PATAGONIA;1,00
811527004;CAMISA BASICA 70/30 MAIZANI OXFORD RAYADO;C4;AZUL MARINO;M;AZUL PATAGONIA;1,00
811527004;CAMISA BASICA 70/30 MAIZANI OXFORD RAYADO;C4;AZUL MARINO;2MG;AZUL PATAGONIA;1,00
811533007;CAMISA BASICA MAIZANI POPLIN RAYADO;I1;CELESTE;MMG;AZUL PATAGONIA;1,00
811533007;CAMISA BASICA MAIZANI POPLIN RAYADO;I1;CELESTE;MG;AZUL PATAGONIA;1,00
811533007;CAMISA BASICA MAIZANI POPLIN RAYADO;I1;CELESTE;G;AZUL PATAGONIA;1,00
811533007;CAMISA BASICA MAIZANI POPLIN RAYADO;I1;CELESTE;CH;AZUL PATAGONIA;1,00
811533007;CAMISA BASICA MAIZANI POPLIN RAYADO;I1;CELESTE;2MG;AZUL PATAGONIA;1,00
812101006;PANTALON SAUCE GABARDINA;H2;NEGRO;52;RIEMERSO SA;1,00
812101006;PANTALON SAUCE GABARDINA;H2;NEGRO;50;RIEMERSO SA;1,00
812101006;PANTALON SAUCE GABARDINA;H2;NEGRO;48;RIEMERSO SA;1,00
812101006;PANTALON SAUCE GABARDINA;H2;NEGRO;46;RIEMERSO SA;1,00
812101006;PANTALON SAUCE GABARDINA;H2;NEGRO;42;RIEMERSO SA;1,00
812101006;PANTALON SAUCE GABARDINA;H2;NEGRO;34;RIEMERSO SA;1,00
812122225;BOMBACHA MARTINA;C4;AZUL MARINO;46;RIEMERSO SA;1,00
812122225;BOMBACHA MARTINA;C4;AZUL MARINO;44;RIEMERSO SA;1,00
812122225;BOMBACHA MARTINA;C4;AZUL MARINO;36;RIEMERSO SA;1,00
812122225;BOMBACHA MARTINA;C4;AZUL MARINO;34;RIEMERSO SA;1,00
812506036;PANTALON CUMBRES DENIM;L2;AZUL LAVADO;46;RIEMERSO SA;1,00
812506036;PANTALON CUMBRES DENIM;L2;AZUL LAVADO;44;RIEMERSO SA;1,00
812506036;PANTALON CUMBRES DENIM;L2;AZUL LAVADO;36;RIEMERSO SA;1,00
812506036;PANTALON CUMBRES DENIM;L2;AZUL LAVADO;34;RIEMERSO SA;1,00
842135004;PASCHMINA A CUADROS;B2;BORDO;U;J.S. Purpura S.R.L.;1,00
842135004;PASCHMINA A CUADROS;G9;CHOCOLATE;U;J.S. Purpura S.R.L.;1,00
842135004;PASCHMINA A CUADROS;H5;GRIS OSCURO;U;J.S. Purpura S.R.L.;1,00
842135004;PASCHMINA A CUADROS;H8;CRUDO;U;J.S. Purpura S.R.L.;1,00
842174023;COLLAR DIJE DOBLE C/ TIRAS GAMUZA;V1;VARIOS;U;;1,00
844134010;CINTO 15MM;H2;NEGRO;95;Pionera S.A.;1,00
844134010;CINTO 15MM;H2;NEGRO;90;Pionera S.A.;1,00
844134010;CINTO 15MM;H2;NEGRO;105;Pionera S.A.;1,00
844134010;CINTO 15MM;H2;NEGRO;100;Pionera S.A.;1,00
844134013;CINTO CANELO FLOTER 30MM;G6;VISON;100;Pionera S.A.;1,00
844134013;CINTO CANELO FLOTER 30MM;G7;SUELA;105;Pionera S.A.;1,00
844134013;CINTO CANELO FLOTER 30MM;G7;SUELA;100;Pionera S.A.;1,00
844134015;CINTO JAZMIN 30MM;G3;MARRON;85;Pionera S.A.;1,00
844134015;CINTO JAZMIN 30MM;H2;NEGRO;90;Pionera S.A.;1,00
844134015;CINTO JAZMIN 30MM;H2;NEGRO;105;Pionera S.A.;1,00
882106012;MOCHILA PEHUEN CO;E1;VERDE;U;Pionera S.A.;1,00
882106013;BOLSO PEHUEN CO;H2;NEGRO;U;Pionera S.A.;1,00
944122002;FAJA GUARDA PAMPA NIÑO;E1;VERDE;U;Corbellini Pablo Andres;1,00
944122002;FAJA GUARDA PAMPA NIÑO;V1;VARIOS;U;Corbellini Pablo Andres;1,00
A004;PANTALON BAHIA CLASICO 5 BOLS. H. PAMPERO;C4;AZUL MARINO;40;RIEMERSO SA;1,00
A004;PANTALON BAHIA CLASICO 5 BOLS. H. PAMPERO;G1;BEIGE;40;RIEMERSO SA;1,00
A004;PANTALON BAHIA CLASICO 5 BOLS. H. PAMPERO;G1;BEIGE;38;RIEMERSO SA;1,00
A004;PANTALON BAHIA CLASICO 5 BOLS. H. PAMPERO;H8;CRUDO;42;RIEMERSO SA;1,00
A200;PANTALON ARECO GABARDINA C/LYCRA;C4;AZUL MARINO;48;RIEMERSO SA;1,00
A200;PANTALON ARECO GABARDINA C/LYCRA;C4;AZUL MARINO;40;RIEMERSO SA;1,00
A200;PANTALON ARECO GABARDINA C/LYCRA;C4;AZUL MARINO;38;RIEMERSO SA;1,00
A200;PANTALON ARECO GABARDINA C/LYCRA;G1;BEIGE;42;RIEMERSO SA;1,00
HC211024;CHALECO TRIP;H2;NEGRO;M;MACATA SA;1,00
HT211024;CAMPERA TRIP;C4;AZUL MARINO;MMG;MACATA SA;1,00
HT211024;CAMPERA TRIP;H2;NEGRO;MMG;MACATA SA;1,00
HT211024;CAMPERA TRIP;H2;NEGRO;M;MACATA SA;1,00
HT211024;CAMPERA TRIP;H2;NEGRO;CH;MACATA SA;1,00
I007;CHALECO BASICO TERMICO TRK PAMPERO;C4;AZUL MARINO;3XL;RANQUEL DEL PLATA SA;1,00
I013;TRAJE DE LLUVIA BIL VEX;A1;AMARILLO;XXL;BAC-DALL ARGENTINA SA;1,00
I013;TRAJE DE LLUVIA BIL VEX;A1;AMARILLO;L;BAC-DALL ARGENTINA SA;1,00
I026;MAMELUCO MANGA RANGLAN H. PAMPERO AZUL (50-60);C4;AZUL MARINO;54;MACATA SA;1,00
I029;PANTALON TRUCKER TERMICO PAMPERO;C4;AZUL MARINO;S;RANQUEL DEL PLATA SA;1,00
I029;PANTALON TRUCKER TERMICO PAMPERO;C4;AZUL MARINO;3XL;RANQUEL DEL PLATA SA;1,00
I036;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);C1;AERO;60;MACATA SA;1,00
I036;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);G1;BEIGE;60;MACATA SA;1,00
I036;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);G1;BEIGE;36;MACATA SA;1,00
I036;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);H1;BLANCO;60;MACATA SA;1,00
I038;PANTALON DE TRAB. H. PAMPERO AZUL CH(36-60);C4;AZUL MARINO;52;MACATA SA;1,00
I042;CAMPERA ANORAK TERMICA TRUCKER PAMPERO;C4;AZUL MARINO;XS;RANQUEL DEL PLATA SA;1,00
I042;CAMPERA ANORAK TERMICA TRUCKER PAMPERO;C4;AZUL MARINO;4XL;RANQUEL DEL PLATA SA;1,00
I042;CAMPERA ANORAK TERMICA TRUCKER PAMPERO;H1;BLANCO;L;RANQUEL DEL PLATA SA;1,00
I042;CAMPERA ANORAK TERMICA TRUCKER PAMPERO;H2;NEGRO;XL;RANQUEL DEL PLATA SA;1,00
I042;CAMPERA ANORAK TERMICA TRUCKER PAMPERO;H2;NEGRO;S;RANQUEL DEL PLATA SA;1,00
I042;CAMPERA ANORAK TERMICA TRUCKER PAMPERO;H2;NEGRO;L;RANQUEL DEL PLATA SA;1,00
I042;CAMPERA ANORAK TERMICA TRUCKER PAMPERO;H2;NEGRO;3XL;RANQUEL DEL PLATA SA;1,00
I043;CAMPERA PARKA BIL VEX;C4;AZUL MARINO;XXL;BAC-DALL ARGENTINA SA;1,00
I043;CAMPERA PARKA BIL VEX;C4;AZUL MARINO;XL;BAC-DALL ARGENTINA SA;1,00
I043;CAMPERA PARKA BIL VEX;C4;AZUL MARINO;S;BAC-DALL ARGENTINA SA;1,00
I044;CAMPERA DRIVER BIL VEX PREMIUM CORTA;C4;AZUL MARINO;L;BAC-DALL ARGENTINA SA;1,00
I051;BOTA PETROLERA CLASICA PAMPERO;G3;MARRON;44;RANQUEL DEL PLATA SA;1,00
I060;BOTA PAMPERO JOB MASTER C.LARGA;H2;NEGRO;38;INTENSIVO SA;1,00
I060;BOTA PAMPERO JOB MASTER C.LARGA;H2;NEGRO;37;INTENSIVO SA;1,00
I062;BOTA PAMPERO JOB MASTER CON PUNTERA;H2;NEGRO;44;INTENSIVO SA;1,00
I065;BOTA NAUTICA C/CUELLO PVC C.LARGA PAMPERO;C4;AZUL MARINO;38;INTENSIVO SA;1,00
I079;GUANTE PVC PESADO LARGO  PAMPERO 70 CM;V1;VARIOS;U;INDUSTRIAL ZONDA SA;1,00
I100;BOMBACHA ALFORZADA H. PAMPERO (38-54);E1;VERDE;48;MACATA SA;1,00
I100;BOMBACHA ALFORZADA H. PAMPERO (38-54);E1;VERDE;42;MACATA SA;1,00
I100;BOMBACHA ALFORZADA H. PAMPERO (38-54);G1;BEIGE;48;MACATA SA;1,00
I100;BOMBACHA ALFORZADA H. PAMPERO (38-54);G1;BEIGE;46;MACATA SA;1,00
I102;BOMBACHA LISA HOMBRE PAMPERO (38-54);E1;VERDE;52;MACATA SA;1,00
I102;BOMBACHA LISA HOMBRE PAMPERO (38-54);E1;VERDE;38;MACATA SA;1,00
I102;BOMBACHA LISA HOMBRE PAMPERO (38-54);E1;VERDE;36;MACATA SA;1,00
I116;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);H3;GRIS;48;MACATA SA;1,00
I116;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);H3;GRIS;42;MACATA SA;1,00
I119;BERMUDA CARGO H. PAMPERO;C4;AZUL MARINO;42;MACATA SA;1,00
I119;BERMUDA CARGO H. PAMPERO;C4;AZUL MARINO;36;MACATA SA;1,00
I119;BERMUDA CARGO H. PAMPERO;E1;VERDE;60;MACATA SA;1,00
I119;BERMUDA CARGO H. PAMPERO;E1;VERDE;58;MACATA SA;1,00
I119;BERMUDA CARGO H. PAMPERO;G1;BEIGE;56;MACATA SA;1,00
I119;BERMUDA CARGO H. PAMPERO;HC;HUMAN;50;MACATA SA;1,00
I119;BERMUDA CARGO H. PAMPERO;HC;HUMAN;44;MACATA SA;1,00
I119;BERMUDA CARGO H. PAMPERO;HC;HUMAN;42;MACATA SA;1,00
I125;CAMISA DENIM FAC TOWN;C6;AZUL JEAN;52;FAC TOWN;1,00
I207;BOTIN PA-709 C/BOX PU BIDENSIDAD;H1;BLANCO;38;DENEB SA;1,00
I272;BOTIN FUNDIDOR ELAS. 2519 S/PUNTA;G3;MARRON;44;DENEB SA;1,00
I272;BOTIN FUNDIDOR ELAS. 2519 S/PUNTA;G3;MARRON;39;DENEB SA;1,00
I307;ZAPATILLA P1269 C/PUNTA;C6;AZUL JEAN;45;DENEB SA;1,00
I307;ZAPATILLA P1269 C/PUNTA;G3;MARRON;40;DENEB SA;1,00
I307;ZAPATILLA P1269 C/PUNTA;H2;NEGRO;42;DENEB SA;1,00
I309;BUZO FRIZA 1/2 CIERRE S/BOL;C4;AZUL MARINO;M;GUADAL RM SRL;1,00
I309;BUZO FRIZA 1/2 CIERRE S/BOL;C4;AZUL MARINO;G;GUADAL RM SRL;1,00
I309;BUZO FRIZA 1/2 CIERRE S/BOL;C4;AZUL MARINO;CH;GUADAL RM SRL;1,00
I312;ZAPATO 1609 C/FLOR C/PUNTA;H2;NEGRO;44;DENEB SA;1,00
I312;ZAPATO 1609 C/FLOR C/PUNTA;H2;NEGRO;43;DENEB SA;1,00
I312;ZAPATO 1609 C/FLOR C/PUNTA;H2;NEGRO;42;DENEB SA;1,00
I312;ZAPATO 1609 C/FLOR C/PUNTA;H2;NEGRO;41;DENEB SA;1,00
I312;ZAPATO 1609 C/FLOR C/PUNTA;H2;NEGRO;39;DENEB SA;1,00
I322;BOTIN ALENKE (2799) PAMPERO C/P;G3;MARRON;42;DENEB SA;1,00
I322;BOTIN ALENKE (2799) PAMPERO C/P;G3;MARRON;38;DENEB SA;1,00
I322;BOTIN ALENKE (2799) PAMPERO C/P;G3;MARRON;37;DENEB SA;1,00
I326;CAMPERA DESCARNE SOLDADOR (S-3XL);V1;VARIOS;XL;CANOR - NOGUERA CARLOS JAVIER;1,00
I345;BOTA JOB MASTER PVC PAMPERO BLANCA;H1;BLANCO;37;INTENSIVO SA;1,00
I350;BOMBACHA LISA HOMBRE PAMPERO (56-60);G1;BEIGE;56;MACATA SA;1,00
I350;BOMBACHA LISA HOMBRE PAMPERO (56-60);H8;CRUDO;60;MACATA SA;1,00
I350;BOMBACHA LISA HOMBRE PAMPERO (56-60);HC;HUMAN;60;MACATA SA;1,00
I351;BOMBACHA LISA H. PAMPERO AZUL (38-54);C4;AZUL MARINO;40;MACATA SA;1,00
I352;BOMBACHA LISA H.PAMPERO AZUL (56-60);C4;AZUL MARINO;58;MACATA SA;1,00
I357;PANTALON PRIMERA PIEL TERMICO MICROFIBRA;H2;NEGRO;4XL;SIN MARCA;1,00
I368;BALIZA INTERMITENTE P/CONO GRANDE;D1;NARANJA;U;SIN MARCA;1,00
I380;ZAP. P35 C/FLOR S/PUNTA;C4;AZUL MARINO;44;TKW S.A.;1,00
I380;ZAP. P35 C/FLOR S/PUNTA;C4;AZUL MARINO;42;TKW S.A.;1,00
I401;TRAJE PREMIUM MOTO STYLE PAMPERO;H2;NEGRO;L;SAFETY SOLUTION SA;1,00
I461;BOTIN 1709 BLANCO C/FLOR C/PUNTA;H1;BLANCO;37;DENEB SA;1,00
I462;BOTIN BIDENSIDAD C/P P 901 DN PAMPERO;H2;NEGRO;38;TKW S.A.;1,00
I479;PANTALON JEAN INDUS. WORKER;C6;AZUL JEAN;60;MACATA SA;1,00
I479;PANTALON JEAN INDUS. WORKER;C6;AZUL JEAN;48;MACATA SA;1,00
I545;BOTIN PAMPERO MARRON C/P P41FM;G3;MARRON;44;TKW S.A.;1,00
I545;BOTIN PAMPERO MARRON C/P P41FM;G3;MARRON;40;TKW S.A.;1,00
I545;BOTIN PAMPERO MARRON C/P P41FM;G3;MARRON;39;TKW S.A.;1,00
I548;BOTIN PAMPERO CUEROBOX C/P P91 BIDENSIDAD;G3;MARRON;43;TKW S.A.;1,00
I548;BOTIN PAMPERO CUEROBOX C/P P91 BIDENSIDAD;G3;MARRON;38;TKW S.A.;1,00
I548;BOTIN PAMPERO CUEROBOX C/P P91 BIDENSIDAD;H2;NEGRO;43;TKW S.A.;1,00
I548;BOTIN PAMPERO CUEROBOX C/P P91 BIDENSIDAD;H2;NEGRO;41;TKW S.A.;1,00
I548;BOTIN PAMPERO CUEROBOX C/P P91 BIDENSIDAD;H2;NEGRO;37;TKW S.A.;1,00
I560;BOTIN BAQUEANO S/P PAMPERO;G3;MARRON;45;RANQUEL DEL PLATA SA;1,00
I564;BOTIN P61 CUERO FLOR BIDENSIDAD C/PUNTA;H2;NEGRO;42;TKW S.A.;1,00
I591;PANT. PAMPERO INDUS. H. JEAN (52-60);C6;AZUL JEAN;56;MACATA SA;1,00
I624;TRAJE DE LLUVIA SLAPPA;A1;AMARILLO;XL;RINOTEC SRL;1,00
I739;TRAJE DE LLUVIA PREMIUM BIL-VEX;C4;AZUL MARINO;XL;BAC-DALL ARGENTINA SA;1,00
I91BR;BOTIN PAMPERO BIDENS. BR 9001-3001;H2;NEGRO;43;TKW S.A.;1,00
IC017;CAMISA DE TRAB H.M/L PAMPERO AZUL G(58-70);C4;AZUL MARINO;62;MACATA SA;1,00
IR123;PONCHO RESERO ECONOMICO;V1;VARIOS;U;SIN MARCA;1,00
M211030;CAMPERA MINERA BAJO CERO PAMPERO;C4;AZUL MARINO;MMG;MACATA SA;1,00
M211030;CAMPERA MINERA BAJO CERO PAMPERO;C4;AZUL MARINO;M;MACATA SA;1,00
M211030;CAMPERA MINERA BAJO CERO PAMPERO;C4;AZUL MARINO;CH;MACATA SA;1,00
M211030;CAMPERA MINERA BAJO CERO PAMPERO;C4;AZUL MARINO;2MG;MACATA SA;1,00
M211030;CAMPERA MINERA BAJO CERO PAMPERO;H2;NEGRO;MMG;MACATA SA;1,00
M211030;CAMPERA MINERA BAJO CERO PAMPERO;H2;NEGRO;M;MACATA SA;1,00
M211030;CAMPERA MINERA BAJO CERO PAMPERO;H2;NEGRO;CH;MACATA SA;1,00
M211030;CAMPERA MINERA BAJO CERO PAMPERO;H2;NEGRO;2MG;MACATA SA;1,00
N019;BOMBACHA LISA NIÑO PAMPERO;E1;VERDE;14;MACATA SA;1,00
N019;BOMBACHA LISA NIÑO PAMPERO;H2;NEGRO;12;MACATA SA;1,00
PA3010;ZAPATILLA 3010 PAMPERO TREKKING;H5;GRIS OSCURO;41;DENEB SA;1,00
PA3010;ZAPATILLA 3010 PAMPERO TREKKING;H5;GRIS OSCURO;39;DENEB SA;1,00
PA3010;ZAPATILLA 3010 PAMPERO TREKKING;H5;GRIS OSCURO;1;DENEB SA;1,00
RI249;BOXER PAMPERO;C4;AZUL MARINO;S;C D Way S.A.;1,00
RI249;BOXER PAMPERO;H2;NEGRO;S;C D Way S.A.;1,00
RI249;BOXER PAMPERO;P4;GRIS MELANGE;S;C D Way S.A.;1,00
U007;CAMISA ESTANCIERA Hombre. M/L PAMPERO;G1;BEIGE;XXL;CITEX SRL;1,00
